timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2017/10/05 15:28:45,254,GetCategories,200,OK,Lookmia general tests 1-7,text,true,,1376,469,9,9,254,0,0
2017/10/05 15:28:45,182,GetCategories,200,OK,Lookmia general tests 1-6,text,true,,1376,469,9,9,182,0,0
2017/10/05 15:28:45,188,GetCategories,200,OK,Lookmia general tests 1-1,text,true,,1376,469,9,9,188,0,0
2017/10/05 15:28:45,199,GetCategories,200,OK,Lookmia general tests 1-5,text,true,,1376,469,9,9,199,0,0
2017/10/05 15:28:45,77,PatchUserLastName,200,OK,Lookmia general tests 1-9,text,true,,724,521,9,9,77,0,0
2017/10/05 15:28:45,374,GetCategoryById,200,OK,Lookmia general tests 1-2,text,true,,511,471,10,10,374,0,0
2017/10/05 15:28:45,411,GetCategoryById,200,OK,Lookmia general tests 1-7,text,true,,511,471,10,10,411,0,0
2017/10/05 15:28:45,758,PatchUserFullInfo,200,OK,Lookmia general tests 1-4,text,true,,718,596,10,10,758,0,0
2017/10/05 15:28:45,387,PatchUserBirthday,200,OK,Lookmia general tests 1-9,text,true,,724,533,10,10,387,0,0
2017/10/05 15:28:45,750,PatchUserFullInfo,200,OK,Lookmia general tests 1-3,text,true,,718,596,10,10,750,0,0
2017/10/05 15:28:45,424,GetCategoryById,200,OK,Lookmia general tests 1-8,text,true,,511,471,10,10,424,0,0
2017/10/05 15:28:45,416,GetCategoryById,200,OK,Lookmia general tests 1-1,text,true,,511,471,10,10,416,0,0
2017/10/05 15:28:45,414,GetCategoryById,200,OK,Lookmia general tests 1-6,text,true,,511,471,10,10,413,0,0
2017/10/05 15:28:45,423,GetCategoryById,200,OK,Lookmia general tests 1-5,text,true,,511,471,10,10,423,0,0
2017/10/05 15:28:45,95,GetUserCategories,200,OK,Lookmia general tests 1-2,text,true,,405,479,10,10,95,0,0
2017/10/05 15:28:45,78,GetCategories,200,OK,Lookmia general tests 1-4,text,true,,1376,469,10,10,78,0,0
2017/10/05 15:28:45,71,GetUserCategories,200,OK,Lookmia general tests 1-8,text,true,,405,479,10,10,71,0,0
2017/10/05 15:28:45,76,PatchUserFullInfo,200,OK,Lookmia general tests 1-9,text,true,,718,596,10,10,76,0,0
2017/10/05 15:28:45,83,GetCategories,200,OK,Lookmia general tests 1-3,text,true,,1376,469,10,10,83,0,0
2017/10/05 15:28:45,369,Login,201,Created,Lookmia general tests 1-10,text,true,,563,843,10,10,369,0,38
